location,lon,lat,source
Choquequirao,-72.873889,-13.392778,PS
Gran Pajaten,-77.4182,-7.649,PS
Gran Saposoa,-77.542,-6.9568,PS
Machu Colca,-72.063611,-13.363333,PS
Machu Picchu,-72.545556,-13.163333,PS
Ollantaytambo,-72.263333,-13.258056,
Vilcabamba,-73.203,-12.904,
Chahuaytiri,-71.449,-13.22795,
Apolo,-68.411435,-14.71923,DC
Pocona,-65.420868,-17.681311,DC
Cusco,-71.97272,-13.5253972,DC
Borja_Minda,-77.5,-0.3,McM
Bellavista,-78.48,-5.43,McM
Huapula,-78.11816,-2.26856,McM
Guaguacanoayacu,-77.8086,-0.98279,McM
Casa de la Tia PAC_14,-74.3,-10.3,McM
Kotosh,-76.16,-9.56,
Valle Ibirza,-65.43479,-16.97905,
Quebrada Chalan,-78.66598,-1.67447,
Incachaca,-68.0671585,-16.4170762,
Raqch'i,-71.366667,-14.175,
terminus_01,-64.62799,-18.310097,
terminus_02,-63.876035,-18.179866,
terminus_03,-70.429434,-14.075601,
terminus_04,-70.753387,-13.229091,
terminus_05,-71.628173,-13.221968,
terminus_06,-72.062852,-13.077288,
terminus_07,-77.545501,-6.719901,
terminus_08,-77.600261,-6.494161,
terminus_09,-77.500919,-6.370166,
terminus_10,-77.797421,-5.90485,
junction_01,-71.313891,-13.945583,
junction_02,-70.944366,-13.902167,
junction_04,-71.311967,-13.659855,
junction_05,-70.94549,-13.609392,
junction_06,-77.797652,-6.815661,
junction_07,-77.815892,-6.485,
junction_08,-77.862922,-6.23447,
Pena Roja,-72.76747,-0.21307,McM
El Algodonal,-72.88334,-4.18339,McM
Pinuna Negra,-75.59,-0.16,McM
Guaguacanoayacu,-77.01628,-0.77151,McM
Huasaga,-77.15,-2.3,McM
Acre,-72.1791,-7.77622,McM
Jose's Hill,-74.39,-8.15,McM
JS2 10_15 OxA-29510,-67.498354,-9.960933,McM
Puerto Maldonado,-69.5697,-11.02809,McM
Cocha Cashu,-71.40836,-11.89063,McM
Los Amigos,-70.09862,-12.547121,McM
Gentry-Parker,-69.09817,-12.21186,McM
Vilhena,-66.17,-12.7,McM
SM1,-64.64478,-14.78816,McM
Gran Vilaya,-78.0968,-6.2944,PS
